Date,Value
1396/02/27,80344.2
1396/02/30,81077.6
1396/02/31,81194
1396/03/01,81124.4
1396/03/02,81124.4
1396/03/03,81146.2
1396/03/06,80921.2
1396/03/07,80713.2
1396/03/08,80607.9
1396/03/09,80511.5
1396/03/10,80513.3
1396/03/13,80288.9
1396/03/16,80293.5
1396/03/17,79758.5
1396/03/20,79855.7
1396/03/21,79870.7
1396/03/22,79564.1
1396/03/23,79426.9
1396/03/24,79465.7
1396/03/27,79285
1396/03/28,78990.4
1396/03/29,78859.2
1396/03/30,78867.5
1396/03/31,78736.2
1396/04/03,78652.7
1396/04/04,78665.5
1396/04/07,78704.5
1396/04/10,78799.7
1396/04/11,78765.3
1396/04/12,78659.2
1396/04/13,78632.5
1396/04/14,78700.2
1396/04/17,78881.6
1396/04/18,78985.4
1396/04/19,79377
1396/04/20,79490.4
1396/04/21,79509.6
1396/04/24,79658.9
1396/04/25,79620.8
1396/04/26,79692.9
1396/04/27,79735.7
1396/04/28,80162.5
1396/04/31,80670.8
1396/05/01,80863
1396/05/02,80933.9
1396/05/03,81181.7
1396/05/04,81509.3
1396/05/07,81420.9
1396/05/08,81491.4
1396/05/09,81533.5
1396/05/10,81415.9
1396/05/11,81265.9
1396/05/15,81384.1
1396/05/16,81285.7
1396/05/17,81313.9
1396/05/18,81579.3
1396/05/21,81763.1
1396/05/22,81661.5
1396/05/23,81659.3
1396/05/24,81696.3
1396/05/25,81741.9
1396/05/28,81954.9
1396/05/29,82016.2
1396/05/30,82075
1396/05/31,82372.4
1396/06/01,82541.8
1396/06/04,82897.1
1396/06/05,82885
1396/06/06,83012.1
1396/06/07,83252
1396/06/08,83272.9
1396/06/11,83428.2
1396/06/12,83345.2
1396/06/13,83452.1
1396/06/14,83733.5
1396/06/15,83675.3
1396/06/19,83255.7
1396/06/20,83369.1
1396/06/21,83469.2
1396/06/22,83523.8
1396/06/25,83683.2
1396/06/26,83916.6
1396/06/27,84414.5
1396/06/28,85343.9
1396/06/29,85831.8
1396/07/01,85798.4
1396/07/02,85588.8
1396/07/03,85516.9
1396/07/04,85628.8
1396/07/05,85819
1396/07/10,85514.9
1396/07/11,85355
1396/07/12,85429.5
1396/07/15,85069.5
1396/07/16,84564.9
1396/07/17,84611.6
1396/07/18,84734.4
1396/07/19,84744.1
1396/07/22,85263.6
1396/07/23,85394.9
1396/07/24,85590.7
1396/07/25,85660
1396/07/26,85768
1396/07/29,86430.5
1396/07/30,86480.2
1396/08/01,86346.2
1396/08/02,86529.2
1396/08/03,86636.8
1396/08/06,86935.4
1396/08/07,87416.6
1396/08/08,87477.2
1396/08/09,87649.9
1396/08/10,87844.9
1396/08/13,87868.6
1396/08/14,87905.1
1396/08/15,87843.7
1396/08/16,87883.1
1396/08/17,87897.4
1396/08/20,87795.2
1396/08/21,87744.7
1396/08/22,87832.5
1396/08/23,87949.8
1396/08/24,88005.9
1396/08/27,88202.3
1396/08/29,88261.2
1396/08/30,88774.6
1396/09/01,89339.1
1396/09/04,90469.5
1396/09/05,90655.5
1396/09/07,91255.2
1396/09/08,91152.2
1396/09/11,91296.7
1396/09/12,90951.8
1396/09/13,90936.6
1396/09/14,91092.2
1396/09/18,91160.3
1396/09/19,91198.9
1396/09/20,91552.4
1396/09/21,92628.9
1396/09/22,93283.7
1396/09/23,93283.6
1396/09/24,93283.6
1396/09/25,94606.4
1396/09/26,95600.7
1396/09/27,95477.4
1396/09/28,95590.6
1396/09/29,95508.6
1396/10/02,96816
1396/10/03,97529.3
1396/10/04,98358.4
1396/10/05,98152.7
1396/10/06,97899.1
1396/10/09,97211.4
1396/10/10,95561.5
1396/10/11,96207.9
1396/10/12,96241.2
1396/10/13,95929.4
1396/10/16,96270.3
1396/10/17,96234.5
1396/10/18,96332.5
1396/10/19,96149.2
1396/10/20,96185.9
1396/10/23,96627.5
1396/10/24,97228.6
1396/10/25,97944
1396/10/26,98596.9
1396/10/27,98923.5
1396/10/30,98817.2
1396/11/01,98221
1396/11/02,98628.4
1396/11/03,99224.7
1396/11/04,99522.1
1396/11/07,99355.5
1396/11/08,99414.5
1396/11/09,99046.1
1396/11/10,98557.8
1396/11/11,98133.5
1396/11/14,97718.8
1396/11/15,97808.1
1396/11/16,98033.5
1396/11/17,97927.5
1396/11/18,98299.7
1396/11/21,97782.7
1396/11/23,97924.7
1396/11/24,98103.3
1396/11/25,98347.9
1396/11/28,98429.6
1396/11/29,98311.6
1396/11/30,98148.5
1396/12/02,98157.3
1396/12/05,98176.9
1396/12/06,98080.2
1396/12/07,98098.5
1396/12/08,98100.8
1396/12/09,97961.7
1396/12/12,97388.7
1396/12/13,97354.3
1396/12/14,97182.6
1396/12/15,96991
1396/12/16,96860.3
1396/12/19,96594.5
1396/12/20,96028.4
1396/12/21,96194.4
1396/12/22,96314.1
1396/12/23,95525.9
1396/12/26,95577.3
1396/12/27,95819.6
1396/12/28,96289.9
1397/01/05,96425.9
1397/01/06,96489.7
1397/01/07,96596.6
1397/01/08,96938.8
1397/01/14,97086.1
1397/01/15,97150.5
1397/01/18,96779.8
1397/01/19,96341.2
1397/01/20,97120.7
1397/01/21,96748
1397/01/22,96287
1397/01/26,95987.5
1397/01/27,95506.2
1397/01/28,95522.7
1397/01/29,95523.8
1397/02/01,95265.8
1397/02/02,94494.2
1397/02/03,94299.5
1397/02/04,94576.3
1397/02/05,94796.1
1397/02/08,94284.4
1397/02/09,93805.5
1397/02/10,93586.9
1397/02/11,93612.1
1397/02/15,93100.6
1397/02/16,92849.9
1397/02/17,93165.9
1397/02/18,93605.8
1397/02/19,93691.1
1397/02/22,93891.1
1397/02/23,94165.8
1397/02/24,94703.4
1397/02/25,94905.9
1397/02/26,94940.2
1397/02/29,95103.1
1397/02/30,95136.4
1397/02/31,95227.4
1397/03/01,95229.9
1397/03/02,95445
1397/03/05,95794
1397/03/06,95626
1397/03/07,95529.6
1397/03/08,95409.6
1397/03/09,95577.6
1397/03/12,95951.9
1397/03/13,95998.8
1397/03/19,96077.1
1397/03/20,95915.9
1397/03/21,95847.4
1397/03/22,96378.7
1397/03/23,99146.2
1397/03/27,102452
1397/03/28,104534
1397/03/29,106504
1397/03/30,108873
1397/04/02,109401
1397/04/03,112061
1397/04/04,115174
1397/04/05,113528
1397/04/06,111325
1397/04/09,111528
1397/04/10,108694
1397/04/11,109937
1397/04/12,112346
1397/04/13,112490
1397/04/16,111052
1397/04/17,110851
1397/04/19,110849
1397/04/20,109505
1397/04/23,108917
1397/04/24,108072
1397/04/25,108110
1397/04/26,107781
1397/04/27,107777
1397/04/30,108296
1397/04/31,108831
1397/05/01,108659
1397/05/02,108396
